timestamp,type_id,rank_index,wideband_cqi_cw0,wideband_cqi_cw1,single_wb_pmi,single_mb_pmi,carrier_index
2024-08-09 11:30:20.483082,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:20.483082,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.493077,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.493077,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.503105,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.503105,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.513083,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:20.513083,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.523085,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:20.523085,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.533082,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:20.533082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.543081,LTE_PHY_PUSCH_CSF,Rank 2,7,8,1,0,PCC
2024-08-09 11:30:20.543081,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.553082,LTE_PHY_PUSCH_CSF,Rank 2,7,8,1,0,PCC
2024-08-09 11:30:20.553082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.563081,LTE_PHY_PUSCH_CSF,Rank 2,7,7,1,0,PCC
2024-08-09 11:30:20.563081,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.572962,LTE_PHY_PUSCH_CSF,Rank 2,7,6,0,0,PCC
2024-08-09 11:30:20.572962,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.583078,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.583078,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.593077,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.593077,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.603103,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.603103,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.613085,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.613085,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.623083,LTE_PHY_PUSCH_CSF,Rank 1,13,0,0,0,PCC
2024-08-09 11:30:20.623083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.633084,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.633084,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.643097,LTE_PHY_PUSCH_CSF,Rank 2,7,9,1,0,PCC
2024-08-09 11:30:20.643097,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.653092,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.653092,LTE_PHY_PUSCH_CSF,Rank 1,7,0,2,0,SCC-2
2024-08-09 11:30:20.663085,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.663085,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.673093,LTE_PHY_PUSCH_CSF,Rank 1,10,0,3,0,PCC
2024-08-09 11:30:20.673093,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.682894,LTE_PHY_PUSCH_CSF,Rank 1,10,0,3,0,PCC
2024-08-09 11:30:20.682894,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.693086,LTE_PHY_PUSCH_CSF,Rank 1,10,0,3,0,PCC
2024-08-09 11:30:20.693086,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.703110,LTE_PHY_PUSCH_CSF,Rank 2,6,8,1,0,PCC
2024-08-09 11:30:20.703110,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.713092,LTE_PHY_PUSCH_CSF,Rank 2,7,9,1,0,PCC
2024-08-09 11:30:20.713092,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.722884,LTE_PHY_PUSCH_CSF,Rank 2,8,10,1,0,PCC
2024-08-09 11:30:20.722884,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.732967,LTE_PHY_PUSCH_CSF,Rank 2,7,9,1,0,PCC
2024-08-09 11:30:20.732967,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:20.743100,LTE_PHY_PUSCH_CSF,Rank 2,7,9,1,0,PCC
2024-08-09 11:30:20.743100,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.752963,LTE_PHY_PUSCH_CSF,Rank 1,8,0,3,0,PCC
2024-08-09 11:30:20.752963,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.763083,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.763083,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.773083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,3,0,PCC
2024-08-09 11:30:20.773083,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,SCC-2
2024-08-09 11:30:20.783083,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.783083,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.793084,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.793084,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:20.803111,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.803111,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.813085,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.813085,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.823090,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.823090,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.833098,LTE_PHY_PUSCH_CSF,Rank 1,9,0,3,0,PCC
2024-08-09 11:30:20.833098,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.842951,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.842951,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.863083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,3,0,PCC
2024-08-09 11:30:20.863083,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.873082,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.873082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.882961,LTE_PHY_PUSCH_CSF,Rank 1,6,0,3,0,PCC
2024-08-09 11:30:20.882961,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.893079,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.893079,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.903108,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.903108,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.913089,LTE_PHY_PUSCH_CSF,Rank 1,9,0,3,0,PCC
2024-08-09 11:30:20.913089,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:20.923083,LTE_PHY_PUSCH_CSF,Rank 1,7,0,3,0,PCC
2024-08-09 11:30:20.923083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.933082,LTE_PHY_PUSCH_CSF,Rank 1,9,0,3,0,PCC
2024-08-09 11:30:20.933082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.943084,LTE_PHY_PUSCH_CSF,Rank 1,8,0,3,0,PCC
2024-08-09 11:30:20.943084,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.953089,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,PCC
2024-08-09 11:30:20.953089,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.963089,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:20.963089,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.973086,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:20.973086,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:20.983090,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:20.983090,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:20.993097,LTE_PHY_PUSCH_CSF,Rank 2,8,5,0,0,PCC
2024-08-09 11:30:20.993097,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.003108,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.003108,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.012962,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.012962,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.022895,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.022895,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.033086,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:21.033086,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.043084,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:21.043084,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.053088,LTE_PHY_PUSCH_CSF,Rank 2,7,5,0,0,PCC
2024-08-09 11:30:21.053088,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.063083,LTE_PHY_PUSCH_CSF,Rank 2,7,6,0,0,PCC
2024-08-09 11:30:21.063083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:21.073086,LTE_PHY_PUSCH_CSF,Rank 2,7,6,0,0,PCC
2024-08-09 11:30:21.073086,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:21.083089,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.083089,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:21.093086,LTE_PHY_PUSCH_CSF,Rank 2,7,6,0,0,PCC
2024-08-09 11:30:21.093086,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:21.103109,LTE_PHY_PUSCH_CSF,Rank 2,7,6,0,0,PCC
2024-08-09 11:30:21.103109,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:21.113087,LTE_PHY_PUSCH_CSF,Rank 2,7,7,1,0,PCC
2024-08-09 11:30:21.113087,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,SCC-2
2024-08-09 11:30:21.123089,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.123089,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.133082,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.133082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.143090,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.143090,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.153085,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.153085,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.163094,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:21.163094,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.173087,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.173087,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:21.183086,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.183086,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.193087,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.193087,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.202885,LTE_PHY_PUSCH_CSF,Rank 2,9,8,0,0,PCC
2024-08-09 11:30:21.202885,LTE_PHY_PUSCH_CSF,Rank 1,7,0,0,0,SCC-2
2024-08-09 11:30:21.213082,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:21.213082,LTE_PHY_PUSCH_CSF,Rank 1,8,0,0,0,SCC-2
2024-08-09 11:30:21.223085,LTE_PHY_PUSCH_CSF,Rank 2,9,7,0,0,PCC
2024-08-09 11:30:21.223085,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:21.232967,LTE_PHY_PUSCH_CSF,Rank 2,9,8,0,0,PCC
2024-08-09 11:30:21.232967,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
